index,millis,x,y
0,0,999,308
0,729,988,324
0,737,989,322
0,745,990,320
0,751,992,317
0,759,992,312
0,767,995,309
0,773,997,306
0,781,998,302
0,789,999,299
0,797,999,297
0,805,999,296
0,811,998,295
0,819,997,294
0,827,995,293
0,841,995,293
0,849,994,292
0,871,992,292
0,879,992,291
0,887,992,289
0,895,992,288
0,901,992,287
0,909,992,286
0,917,994,285
0,925,994,284
0,931,994,283
0,947,994,282
0,955,994,282
0,961,995,281
0,985,995,281
0,999,995,280
0,1007,995,280
0,1013,995,279
0,1021,995,278
0,1029,995,277
0,1037,996,275
0,1043,996,274
0,1051,997,272
0,1059,997,270
0,1067,998,269
0,1075,998,267
0,1081,998,265
0,1089,998,263
0,1097,998,261
0,1103,998,258
0,1111,997,255
0,1119,997,252
0,1127,996,249
0,1135,995,247
0,1141,994,245
0,1149,992,243
0,1157,992,241
0,1163,992,240
0,1171,992,239
0,1179,992,237
0,1187,992,236
0,1195,992,234
0,1209,992,233
0,1217,992,233
0,1225,994,233
0,1231,994,234
0,1239,994,235
0,1247,994,236
0,1255,994,237
0,1262,994,238
0,1269,992,240
0,1277,992,241
0,1283,992,243
0,1291,991,245
0,1299,990,247
0,1307,989,250
0,1315,987,253
0,1321,985,256
0,1329,984,260
0,1337,984,263
0,1343,983,267
0,1351,982,269
0,1359,981,272
0,1367,981,274
0,1373,980,275
0,1381,980,277
0,1389,980,278
0,1397,980,279
0,1405,980,280
0,1411,979,281
0,1419,979,281
0,1427,979,282
0,1435,977,282
0,1441,977,282
0,1449,977,282
0,1465,977,282
0,1479,977,281
0,1493,977,281
0,1531,977,280
0,1547,977,279
0,1553,977,279
0,1561,979,279
0,1577,979,279
0,1591,980,278
0,1599,980,278
0,1613,981,278
0,1621,981,278
0,1629,983,278
0,1643,984,278
0,1651,984,278
0,1659,984,279
0,1667,984,279
0,1675,985,279
0,1681,985,280
0,1689,987,280
0,1697,987,280
0,1705,988,280
0,1711,989,280
0,1719,990,280
0,1727,990,281
0,1735,990,282
0,1741,990,282
0,1749,990,283
0,1757,989,284
0,1763,989,285
0,1771,989,286
0,1801,989,286
0,1817,989,286
0,1822,989,286
