index,millis,x,y
0,0,924,243
0,8652,924,243
0,8664,924,244
0,8689,924,246
0,8701,932,249
0,8714,941,252
0,8727,952,256
0,8738,960,258
0,8751,965,260
0,8763,968,261
0,8776,969,261
0,8789,972,262
0,8802,974,262
0,8814,977,263
0,8827,979,264
0,8839,982,265
0,8852,985,266
0,8864,989,266
0,8877,992,267
0,8892,996,269
0,8901,999,270
0,8914,1005,271
0,8927,1010,274
0,8939,1013,275
0,8952,1017,277
0,8963,1019,278
0,8976,1021,279
0,8988,1022,279
0,9001,1024,279
0,9014,1026,280
0,9026,1028,280
0,9039,1030,280
0,9051,1031,281
0,9064,1032,281
0,9076,1032,281
0,9101,1032,281
0,9139,1033,281
0,9164,1033,281
0,9177,1033,281
0,9188,1034,281
0,9214,1034,281
0,9227,1034,281
0,9690,1035,281
0,9816,1035,281
