index,millis,x,y
0,0,1202,12
0,413,1202,13
0,426,1202,20
0,438,1204,27
0,451,1205,31
0,463,1206,33
0,476,1207,34
0,488,1208,35
0,501,1209,36
0,514,1209,38
0,525,1211,41
0,538,1212,43
0,550,1213,46
0,563,1214,47
0,575,1214,48
0,588,1214,48
0,601,1214,49
0,638,1217,55
0,651,1218,60
0,662,1219,63
0,675,1220,65
0,688,1220,66
0,700,1220,67
0,713,1220,67
0,725,1221,68
0,738,1221,70
0,750,1222,72
0,763,1222,74
0,776,1223,75
0,788,1223,76
0,801,1223,76
0,813,1224,76
0,826,1224,76
0,864,1224,77
0,876,1225,78
0,889,1225,79
0,1001,1225,79
0,1002,1225,79
