index,millis,x,y
0,0,14,71
0,24,14,71
0,36,14,71
0,150,15,71
0,168,15,71
0,249,15,71
0,300,16,71
0,349,16,71
0,399,16,72
0,437,16,72
0,450,17,72
0,462,17,72
0,475,17,73
0,500,17,73
0,512,17,73
0,525,17,73
0,537,17,74
0,550,17,74
0,575,17,75
0,612,19,80
0,625,29,85
0,639,59,94
0,651,130,111
0,662,225,131
0,674,333,150
0,687,446,167
0,699,555,177
0,712,656,182
0,724,749,186
0,737,834,195
0,750,910,204
0,762,977,215
0,775,1033,227
0,787,1073,235
0,800,1096,240
0,1125,1096,242
0,1137,1095,242
0,1150,1094,242
0,1163,1091,242
0,1175,1086,242
0,1188,1080,241
0,1199,1075,237
0,1212,1069,234
0,1226,1064,231
0,1238,1059,229
0,1251,1055,228
0,1262,1051,226
0,1275,1047,226
0,1288,1042,225
0,1300,1038,223
0,1313,1033,223
0,1325,1027,223
0,1338,1021,223
0,1351,1013,222
0,1363,1003,221
0,1376,992,219
0,1388,981,217
0,1401,965,214
0,1412,943,212
0,1425,917,210
0,1437,893,208
0,1450,873,206
0,1462,859,204
0,1475,851,204
0,1488,849,204
0,1563,850,204
0,1575,857,204
0,1588,872,208
0,1601,891,214
0,1613,916,221
0,1626,940,228
0,1638,967,235
0,1651,991,241
0,1664,1013,246
0,1676,1032,250
0,1689,1047,254
0,1700,1060,258
0,1713,1073,262
0,1726,1081,264
0,1738,1088,266
0,1751,1093,267
0,1763,1095,268
0,1776,1096,268
0,1788,1097,268
0,1802,1098,268
0,1814,1100,269
0,1826,1102,270
0,1839,1106,270
0,1851,1108,271
0,1864,1110,272
0,1876,1112,273
0,1889,1115,273
0,1901,1116,274
0,1914,1118,274
0,1925,1120,275
0,1938,1122,275
0,1951,1123,276
0,1963,1125,277
0,1976,1127,278
0,1989,1129,279
0,2001,1131,280
0,2013,1133,281
0,2026,1135,282
0,2039,1136,283
0,2051,1137,285
0,2064,1138,286
0,2077,1139,288
0,2089,1140,289
0,2102,1141,291
0,2114,1141,292
0,2127,1141,293
0,2138,1141,293
0,2151,1141,294
0,2163,1141,295
0,2188,1141,297
0,2201,1141,300
0,2214,1141,302
0,2226,1141,304
0,2239,1141,305
0,2251,1141,306
0,2264,1141,306
0,2276,1141,307
0,2289,1141,307
0,2301,1141,308
0,2314,1141,308
0,2327,1141,309
0,2414,1136,309
0,2426,1117,309
0,2439,1069,305
0,2451,999,297
0,2464,922,285
0,2476,853,271
0,2489,794,256
0,2501,749,241
0,2514,719,229
0,2527,700,223
0,2539,694,222
0,2552,690,222
0,2564,688,222
0,2577,683,222
0,2590,672,222
0,2602,658,222
0,2614,644,222
0,2626,621,222
0,2639,589,222
0,2651,541,219
0,2664,487,214
0,2676,435,210
0,2689,395,208
0,2702,367,208
0,2714,345,208
0,2727,334,208
0,2739,331,214
0,2977,325,217
0,2990,316,218
0,3002,302,218
0,3015,275,218
0,3027,249,218
0,3040,227,209
0,3052,210,198
0,3065,199,189
0,3078,193,182
0,3090,190,178
0,3103,189,174
0,3114,189,174
0,3127,189,173
0,3140,189,171
0,3152,189,170
0,3165,189,168
0,3177,189,165
0,3190,189,163
0,3202,189,160
0,3215,189,158
0,3228,189,156
0,3240,189,155
0,3252,189,153
0,3265,189,152
0,3278,189,150
0,3290,189,149
0,3303,189,148
0,3315,189,148
0,3328,189,147
0,3391,190,149
0,3403,190,152
0,3416,190,154
0,3427,190,157
0,3440,190,160
0,3452,190,164
0,3465,190,168
0,3477,190,171
0,3490,190,173
0,3502,190,174
0,3515,190,176
0,3527,190,176
0,3540,190,178
0,3553,190,179
0,3565,190,182
0,3578,190,184
0,3590,190,186
0,3603,190,187
0,3616,190,187
0,3628,190,187
0,3641,190,188
0,3653,190,188
0,3666,190,189
0,3677,190,190
0,3690,190,191
0,3703,190,192
0,3715,190,193
0,3728,190,194
0,3740,190,195
0,3753,190,196
0,3766,190,197
0,3778,190,199
0,3791,190,202
0,3804,190,204
0,3816,189,205
0,3829,189,206
0,3841,189,207
0,3853,189,207
0,3866,189,208
0,3879,189,209
0,3891,188,211
0,3904,188,212
0,3916,188,214
0,3929,187,214
0,4028,187,214
