index,millis,x,y
0,0,1309,380
0,138,1305,380
0,149,1247,380
0,162,1129,380
0,174,1003,380
0,188,873,380
0,200,747,380
0,212,629,380
0,224,517,362
0,237,424,344
0,250,346,325
0,262,282,309
0,274,231,297
0,287,195,291
0,300,174,291
0,312,168,291
0,325,166,291
0,536,166,284
0,549,154,267
0,561,133,240
0,574,112,214
0,586,93,191
0,599,75,167
0,612,59,147
0,625,47,130
0,638,37,118
0,650,28,109
0,662,19,101
0,675,13,94
0,687,8,88
0,699,3,82
0,712,1,77
0,724,0,74
0,737,0,72
0,749,0,72
0,762,0,71
0,774,0,70
0,787,0,70
0,800,0,68
0,812,0,66
0,824,0,64
0,837,0,63
0,850,0,61
0,862,0,59
0,875,0,58
0,888,0,55
0,899,0,55
0,912,0,55
0,987,0,55
0,1000,2,55
0,1012,6,58
0,1025,10,59
0,1037,14,61
0,1050,16,63
0,1062,19,64
0,1074,20,65
0,1087,20,66
0,1099,21,66
0,1112,21,67
0,1125,21,68
0,1137,22,70
0,1149,22,71
0,1162,22,71
0,1175,22,72
0,1186,22,73
0,1199,22,73
0,1212,22,73
0,1213,22,73
