index,millis,x,y
0,0,62,37
0,788,65,37
0,800,70,38
0,812,86,38
0,825,122,38
0,837,178,38
0,850,275,38
0,863,404,38
0,875,560,38
0,887,708,45
0,900,844,55
0,912,964,68
0,924,1079,78
0,937,1156,89
0,1124,1149,89
0,1137,1148,89
0,1150,1146,88
0,1162,1145,85
0,1174,1143,81
0,1188,1142,75
0,1200,1141,69
0,1212,1141,62
0,1224,1141,53
0,1237,1141,43
0,1250,1149,33
0,1262,1157,26
0,1276,1168,20
0,1287,1181,15
0,1300,1194,13
0,1313,1202,11
0,1325,1207,11
0,1337,1208,11
0,1350,1209,11
0,1362,1209,11
0,1375,1209,11
0,1824,1209,11
