index,millis,x,y
0,0,1843,268
0,326,1837,268
0,338,1806,272
0,351,1740,280
0,364,1666,291
0,376,1597,297
0,389,1534,303
0,401,1487,307
0,414,1446,309
0,425,1421,310
0,438,1407,311
0,450,1396,311
0,687,1356,311
0,700,1286,311
0,712,1223,308
0,725,1161,294
0,737,1109,276
0,750,1077,254
0,762,1062,241
0,775,1056,232
0,787,1054,226
0,999,1047,223
0,1012,1040,221
0,1025,1036,220
0,1037,1034,220
0,1050,1031,220
0,1062,1030,220
0,1075,1029,220
0,1087,1028,220
0,1100,1025,222
0,1112,1022,226
0,1124,1021,232
0,1137,1017,238
0,1149,1012,249
0,1162,1007,263
0,1174,1002,275
0,1188,999,285
0,1200,997,293
0,1212,995,299
0,1224,994,304
0,1237,992,310
0,1250,992,315
0,1261,992,319
0,1274,992,324
0,1286,992,326
0,1299,992,327
0,1374,992,327
0,1523,992,327
